# Vertical grid
# depth [m] positive downward; layer 1 = bottom, layer nz = surface
# Number of sediment layers: 0
#
layer  domain    z_center_m   dz_m    z_w_top_m  z_w_bottom_m
    30  water         1.0000      2.0000      0.0000      2.0000
    29  water         3.0000      2.0000      2.0000      4.0000
    28  water         5.0000      2.0000      4.0000      6.0000
    27  water         7.0000      2.0000      6.0000      8.0000
    26  water         9.0000      2.0000      8.0000     10.0000
    25  water        11.0000      2.0000     10.0000     12.0000
    24  water        13.0000      2.0000     12.0000     14.0000
    23  water        15.0000      2.0000     14.0000     16.0000
    22  water        17.0000      2.0000     16.0000     18.0000
    21  water        19.0000      2.0000     18.0000     20.0000
    20  water        21.0000      2.0000     20.0000     22.0000
    19  water        23.0000      2.0000     22.0000     24.0000
    18  water        25.0000      2.0000     24.0000     26.0000
    17  water        27.0000      2.0000     26.0000     28.0000
    16  water        29.0000      2.0000     28.0000     30.0000
    15  water        31.0000      2.0000     30.0000     32.0000
    14  water        33.0000      2.0000     32.0000     34.0000
    13  water        35.0000      2.0000     34.0000     36.0000
    12  water        37.0000      2.0000     36.0000     38.0000
    11  water        39.0000      2.0000     38.0000     40.0000
    10  water        41.0000      2.0000     40.0000     42.0000
     9  water        43.0000      2.0000     42.0000     44.0000
     8  water        45.0000      2.0000     44.0000     46.0000
     7  water        47.0000      2.0000     46.0000     48.0000
     6  water        49.0000      2.0000     48.0000     50.0000
     5  water        51.0000      2.0000     50.0000     52.0000
     4  water        53.0000      2.0000     52.0000     54.0000
     3  water        55.0000      2.0000     54.0000     56.0000
     2  water        57.0000      2.0000     56.0000     58.0000
     1  water        59.0000      2.0000     58.0000     60.0000
